target,target_classification,well_id,donor_id,b_cells_pct_expression,nk_cells_pct_expression,cd4_cells_pct_expression,cd8_cells_pct_expression,b_cells_mfi,nk_cells_mfi,cd4_cells_mfi,cd8_cells_mfi,b_cells_receptor_density,nk_cells_receptor_density,cd4_cells_receptor_density,cd8_cells_receptor_density
Armenian Hamster Isotype CTRL,Control,H8,6,0.92,0.17,0.48,0.51,83.2,31.4,78.7,69.4,45,16,42,37
Armenian Hamster Isotype CTRL,Control,H8,4,0.42,0.11,0.099,0.15,70.0,40.6,61.1,54.3,38,21,33,29
Armenian Hamster Isotype CTRL,Control,H8,5,0.32,0.07,0.099,0.14,61.4,41.1,58.9,71.1,33,22,31,38
Armenian Hamster Isotype CTRL,Control,H8,7,0.28,0.092,0.21,0.23,48.0,30.6,56.5,55.7,25,16,30,30
BTLA,Computational Nominated Target,C4,5,96.4,0.37,66.6,26.8,3293.0,75.9,1173.0,505.0,2021,41,695,290
BTLA,Computational Nominated Target,C4,7,97.4,0.93,43.0,12.2,3902.0,60.4,775.0,264.0,2408,32,452,149
BTLA,Computational Nominated Target,C4,6,88.5,0.41,38.2,14.2,2200.0,36.6,661.0,297.0,1331,19,384,168
BTLA,Computational Nominated Target,C4,4,94.0,0.42,32.5,7.7,3221.0,60.8,550.0,206.0,1975,33,317,115
CCR6,Trafficking,F2,4,98.3,5.5,43.5,18.9,4450.0,233.0,2439.0,704.0,2759,131,1481,410
CCR6,Trafficking,F2,6,98.6,6.76,36.8,16.4,3770.0,244.0,1790.0,635.0,2324,137,1076,368
CCR6,Trafficking,F2,7,99.2,4.5,25.4,15.9,5436.0,174.0,1140.0,657.0,3394,96,674,381
CCR6,Trafficking,F2,5,97.5,5.61,19.5,15.2,3734.0,201.0,1065.0,634.0,2301,112,629,368
CCR9,Trafficking,A2,4,29.1,6.03,23.9,19.5,811.0,318.0,883.0,751.0,474,180,518,438
CCR9,Trafficking,A2,6,12.8,4.78,9.64,12.1,677.0,195.0,628.0,741.0,393,109,364,432
CCR9,Trafficking,A2,7,12.1,3.07,9.35,10.7,562.0,124.0,591.0,667.0,324,68,342,387
CCR9,Trafficking,A2,5,9.73,3.8,6.51,8.55,458.0,182.0,473.0,666.0,263,101,271,387
CD162,Computational Nominated Target,F6,6,75.4,98.2,98.9,97.6,1024.0,20524.0,9965.0,12012.0,604,13414,6353,7707
CD162,Computational Nominated Target,F6,4,68.3,99.5,99.3,100.0,896.0,16323.0,9302.0,12772.0,526,10585,5916,8212
CD162,Computational Nominated Target,F6,5,84.9,99.9,99.1,93.6,1155.0,13750.0,8715.0,10485.0,684,8864,5530,6696
CD162,Computational Nominated Target,F6,7,53.6,98.8,98.9,99.9,734.0,20863.0,7682.0,12107.0,428,13644,4854,7770
CD200,Computational Nominated Target,B1,6,83.2,4.53,76.7,56.6,3715.0,132.0,13017.0,6521.0,2289,72,8375,4097
CD200,Computational Nominated Target,B1,5,93.6,4.62,87.8,64.8,6618.0,171.0,11187.0,6366.0,4160,95,7160,3996
CD200,Computational Nominated Target,B1,7,82.2,5.36,71.9,40.5,3807.0,167.0,8646.0,3492.0,2348,92,5485,2147
CD200,Computational Nominated Target,B1,4,85.9,11.4,80.0,49.0,4181.0,429.0,6603.0,2402.0,2587,245,4150,1458
CD200R,Computational Nominated Target,G6,7,24.4,8.01,66.9,45.3,636.0,236.0,2646.0,2123.0,369,132,1611,1283
CD200R,Computational Nominated Target,G6,5,11.4,70.8,92.9,80.7,297.0,1416.0,2010.0,1666.0,168,844,1213,999
CD200R,Computational Nominated Target,G6,4,15.8,11.7,69.4,33.8,322.0,399.0,1287.0,655.0,182,228,765,380
CD200R,Computational Nominated Target,G6,6,11.8,11.3,53.3,17.1,228.0,370.0,1031.0,472.0,128,211,608,271
CD22,Computational Nominated Target,E4,6,99.7,1.8,5.11,3.6,19373.0,56.3,179.0,143.0,12637,30,99,79
CD22,Computational Nominated Target,E4,4,99.9,1.7,1.96,1.61,20223.0,63.1,120.0,106.0,13211,34,66,58
CD22,Computational Nominated Target,E4,7,99.8,0.66,1.97,1.67,17661.0,46.6,115.0,100.0,11483,25,63,54
CD22,Computational Nominated Target,E4,5,99.8,0.53,1.48,1.2,27444.0,73.4,112.0,114.0,18118,40,61,62
CD25,Reference/Competitor,A6,4,38.5,36.2,94.4,91.4,1195.0,2080.0,13581.0,15611.0,708,1256,8751,10107
CD25,Reference/Competitor,A6,5,59.1,20.4,94.9,89.5,1524.0,1286.0,12380.0,14417.0,911,764,7952,9309
CD25,Reference/Competitor,A6,7,37.9,24.4,90.8,86.4,969.0,1643.0,11839.0,17324.0,570,984,7592,11257
CD25,Reference/Competitor,A6,6,66.0,12.0,92.8,87.0,2179.0,805.0,9107.0,9801.0,1318,471,5788,6245
CD27,Computational Nominated Target,G5,5,24.6,11.1,95.6,88.0,820.0,338.0,32916.0,40927.0,480,192,21867,27393
CD27,Computational Nominated Target,G5,7,52.7,24.6,92.8,78.1,4474.0,971.0,26431.0,24537.0,2775,571,17426,16136
CD27,Computational Nominated Target,G5,4,57.3,13.1,91.6,92.5,2778.0,448.0,15851.0,20861.0,1695,257,10268,13642
CD27,Computational Nominated Target,G5,6,34.5,11.5,91.1,88.9,1126.0,400.0,13626.0,25606.0,666,228,8781,16864
CD28,Reference/Competitor,H1,4,18.1,4.05,99.3,83.6,414.0,169.0,16167.0,8509.0,237,94,10480,5395
CD28,Reference/Competitor,H1,5,13.6,2.23,98.3,84.7,334.0,145.0,12662.0,8458.0,189,80,8139,5362
CD28,Reference/Competitor,H1,7,12.1,1.91,94.8,59.7,319.0,93.1,9495.0,4200.0,181,51,6043,2599
CD28,Reference/Competitor,H1,6,14.2,1.7,97.5,82.2,333.0,77.3,9403.0,5448.0,189,42,5983,3402
CD294,Computational Nominated Target,C7,5,0.47,0.12,0.41,0.62,119.0,54.0,104.0,122.0,65,29,57,67
CD294,Computational Nominated Target,C7,7,0.64,0.13,0.77,0.68,67.2,44.5,100.0,199.0,36,24,54,111
CD294,Computational Nominated Target,C7,4,0.72,0.21,0.29,0.34,69.3,41.2,70.7,60.4,37,22,38,32
CD294,Computational Nominated Target,C7,6,0.39,0.24,0.46,0.6,66.2,25.1,69.7,70.5,36,13,37,38
CD30L,Computational Nominated Target,C5,6,11.3,1.82,68.7,36.1,263.0,66.1,7085.0,2081.0,148,35,4464,1257
CD30L,Computational Nominated Target,C5,7,3.95,1.05,55.1,22.6,136.0,55.1,2925.0,722.0,75,29,1788,420
CD30L,Computational Nominated Target,C5,4,3.56,1.03,48.8,17.0,127.0,69.2,1993.0,460.0,70,37,1202,264
CD30L,Computational Nominated Target,C5,5,3.5,1.06,43.4,18.3,121.0,74.5,1899.0,610.0,66,40,1143,353
CD38,Computational Nominated Target,F1,7,86.5,99.4,92.2,93.1,9091.0,40094.0,16184.0,13916.0,5777,26817,10491,8974
CD38,Computational Nominated Target,F1,5,95.1,99.3,92.3,86.3,12607.0,53321.0,13953.0,10807.0,8103,36016,8999,6909
CD38,Computational Nominated Target,F1,4,87.5,98.7,84.5,86.4,11070.0,57436.0,12102.0,10618.0,7083,38895,7767,6784
CD38,Computational Nominated Target,F1,6,92.3,97.6,82.9,83.0,12457.0,35032.0,9445.0,8207.0,8003,23322,6010,5197
CD39,Computational Nominated Target,F4,4,98.0,25.3,15.7,14.1,15143.0,2376.0,1132.0,687.0,9794,1442,670,399
CD39,Computational Nominated Target,F4,6,97.8,10.3,17.1,9.41,9396.0,388.0,963.0,254.0,5978,221,566,143
CD39,Computational Nominated Target,F4,5,97.2,14.2,8.57,6.16,9558.0,992.0,550.0,239.0,6085,584,317,134
CD39,Computational Nominated Target,F4,7,97.9,8.98,7.6,6.06,10106.0,522.0,292.0,179.0,6446,301,165,99
CD40L,Computational Nominated Target,A8,5,0.21,0.25,23.5,1.56,62.8,44.7,559.0,100.0,34,24,323,54
CD40L,Computational Nominated Target,A8,6,0.5,0.33,22.5,2.06,69.1,31.5,497.0,102.0,37,16,286,56
CD40L,Computational Nominated Target,A8,4,0.28,0.36,20.0,1.56,68.7,44.3,433.0,79.1,37,23,248,43
CD40L,Computational Nominated Target,A8,7,0.38,0.21,16.8,1.17,54.2,35.8,392.0,76.6,29,19,224,41
CD44,Computational Nominated Target,E1,4,92.8,89.6,43.3,44.3,135938.0,124715.0,286506.0,258117.0,94831,86743,205070,184087
CD44,Computational Nominated Target,E1,5,94.1,93.1,44.1,42.1,136641.0,124663.0,274607.0,255245.0,95338,86706,196266,181968
CD44,Computational Nominated Target,E1,6,92.0,83.5,48.8,53.8,134093.0,151268.0,269725.0,230924.0,93499,105914,192658,164062
CD44,Computational Nominated Target,E1,7,93.2,80.8,47.6,49.5,133885.0,177765.0,269057.0,249787.0,93349,125161,192164,177945
CD45Ra,Reference/Competitor,H6,5,99.8,99.7,88.1,91.9,55188.0,65708.0,39926.0,79615.0,37321,44704,26701,54525
CD45Ra,Reference/Competitor,H6,6,99.9,100.0,84.6,94.6,72391.0,92365.0,26964.0,71180.0,49415,63581,17790,48560
CD45Ra,Reference/Competitor,H6,7,99.6,99.3,85.3,97.2,82801.0,79070.0,20444.0,49635.0,56783,54139,13360,33444
CD45Ra,Reference/Competitor,H6,4,99.6,99.1,69.7,89.2,82712.0,79014.0,13226.0,33378.0,56720,54099,8514,22184
CD45RO,Computational Nominated Target,B4,4,8.5,9.37,84.4,61.9,236.0,340.0,25862.0,15250.0,132,193,17038,9866
CD45RO,Computational Nominated Target,B4,6,7.7,5.03,67.5,29.1,225.0,127.0,18257.0,5006.0,126,70,11885,3117
CD45RO,Computational Nominated Target,B4,5,5.07,14.7,85.0,38.6,180.0,557.0,15221.0,4663.0,100,321,9846,2896
CD45RO,Computational Nominated Target,B4,7,5.12,7.27,78.9,50.8,140.0,342.0,14668.0,5802.0,77,194,9476,3631
CD53,Computational Nominated Target,D4,4,99.9,99.7,98.6,99.1,15347.0,10549.0,4198.0,5324.0,9931,6738,2598,3322
CD53,Computational Nominated Target,D4,6,99.9,99.7,97.3,94.8,12484.0,10020.0,3802.0,3765.0,8021,6389,2345,2321
CD53,Computational Nominated Target,D4,5,99.9,99.8,98.2,91.0,7670.0,10367.0,3498.0,3493.0,4846,6618,2151,2148
CD53,Computational Nominated Target,D4,7,100.0,99.6,97.3,98.7,11985.0,9191.0,3461.0,5295.0,7689,5843,2127,3303
CD62L,Computational Nominated Target,G1,5,89.6,55.0,87.6,70.8,6015.0,2892.0,8516.0,5727.0,3768,1767,5400,3582
CD62L,Computational Nominated Target,G1,7,89.2,36.2,68.5,42.9,10310.0,3948.0,5531.0,2441.0,6580,2438,3455,1483
CD62L,Computational Nominated Target,G1,4,91.2,47.4,67.5,57.1,9415.0,3366.0,5177.0,3752.0,5990,2067,3227,2313
CD62L,Computational Nominated Target,G1,6,79.2,38.0,64.2,56.5,4253.0,3123.0,3544.0,2959.0,2633,1913,2180,1809
CD69,Reference/Competitor,H3,6,98.4,95.9,86.2,93.4,21756.0,20232.0,125931.0,76964.0,14248,13217,87618,52648
CD69,Reference/Competitor,H3,5,99.5,98.5,92.0,91.4,12664.0,27876.0,113565.0,60037.0,8140,18413,78734,40719
CD69,Reference/Competitor,H3,7,91.8,93.6,91.6,97.3,9316.0,17230.0,99737.0,44030.0,5925,11194,68838,29545
CD69,Reference/Competitor,H3,4,96.7,98.6,95.8,98.1,9915.0,18277.0,80395.0,41652.0,6320,11898,55077,27896
CD7,Computational Nominated Target,C3,5,6.97,98.3,93.1,90.3,209.0,22569.0,22555.0,30036.0,117,14799,14790,19891
CD7,Computational Nominated Target,C3,7,9.5,98.2,93.4,97.9,213.0,28516.0,17726.0,19617.0,119,18850,11527,12802
CD7,Computational Nominated Target,C3,6,8.65,98.3,95.1,96.5,226.0,15610.0,16471.0,22411.0,126,10107,10684,14692
CD7,Computational Nominated Target,C3,4,54.2,99.6,97.0,99.1,733.0,22705.0,14667.0,24128.0,427,14891,9476,15858
CD73,Computational Nominated Target,A4,4,92.7,2.9,26.4,68.5,7535.0,133.0,925.0,2683.0,4758,73,543,1635
CD73,Computational Nominated Target,A4,5,82.6,1.34,26.4,79.3,8239.0,93.0,694.0,4047.0,5218,50,404,2501
CD73,Computational Nominated Target,A4,6,77.8,0.98,16.8,80.9,4186.0,57.6,544.0,3932.0,2590,31,314,2428
CD73,Computational Nominated Target,A4,7,79.4,1.13,19.1,54.9,6567.0,64.3,495.0,2185.0,4127,34,285,1322
CD83,Computational Nominated Target,G7,6,96.0,23.0,52.3,45.4,11160.0,898.0,1394.0,1119.0,7142,527,830,662
CD83,Computational Nominated Target,G7,7,82.0,19.0,38.3,39.5,6125.0,792.0,867.0,816.0,3840,463,508,477
CD83,Computational Nominated Target,G7,4,87.1,23.9,31.2,28.4,6781.0,922.0,692.0,609.0,4266,541,402,353
CD83,Computational Nominated Target,G7,5,96.2,16.9,31.7,37.3,8935.0,593.0,673.0,733.0,5675,343,391,427
CD9,Computational Nominated Target,E7,4,47.3,28.5,58.4,64.4,3623.0,1114.0,2471.0,2506.0,2231,659,1501,1523
CD9,Computational Nominated Target,E7,7,34.2,22.6,58.9,64.9,2118.0,2825.0,2132.0,2714.0,1280,1724,1289,1654
CD9,Computational Nominated Target,E7,5,56.7,28.1,63.5,72.0,2266.0,550.0,2113.0,2917.0,1373,317,1277,1783
CD9,Computational Nominated Target,E7,6,49.2,18.9,51.4,63.3,2481.0,743.0,1687.0,2706.0,1508,433,1012,1649
CD96,Computational Nominated Target,A7,7,11.4,85.5,44.2,73.6,262.0,2408.0,870.0,2602.0,147,1462,510,1584
CD96,Computational Nominated Target,A7,4,6.95,73.0,30.8,65.0,195.0,1426.0,529.0,1553.0,109,850,305,929
CD96,Computational Nominated Target,A7,6,4.35,72.8,17.9,32.5,150.0,1367.0,364.0,707.0,83,814,207,411
CD96,Computational Nominated Target,A7,5,0.9,83.8,17.4,35.8,71.9,1642.0,337.0,800.0,39,984,191,468
CRTAM,Computational Nominated Target,D6,7,1.47,36.4,8.36,77.1,75.0,2833.0,854.0,7833.0,40,1729,500,4952
CRTAM,Computational Nominated Target,D6,6,1.47,12.1,6.97,73.5,84.7,490.0,479.0,7077.0,46,282,275,4459
CRTAM,Computational Nominated Target,D6,4,1.21,10.4,6.42,73.0,88.0,350.0,441.0,5061.0,48,199,252,3152
CRTAM,Computational Nominated Target,D6,5,0.87,12.3,7.27,77.1,82.9,531.0,319.0,6777.0,45,306,181,4263
CTLA4,Reference/Competitor,D5,4,3.4,0.56,29.4,25.1,119.0,49.5,770.0,750.0,65,26,449,437
CTLA4,Reference/Competitor,D5,6,2.21,0.41,17.6,7.12,108.0,30.1,591.0,252.0,59,16,342,142
CTLA4,Reference/Competitor,D5,5,0.96,0.61,15.5,8.32,72.4,47.1,446.0,270.0,39,25,255,152
CTLA4,Reference/Competitor,D5,7,1.16,0.71,13.7,10.3,70.8,42.4,376.0,270.0,38,22,214,152
CXCR3,Trafficking,G3,7,53.1,89.7,85.7,96.4,2926.0,3489.0,7334.0,11545.0,1788,2145,4626,7398
CXCR3,Trafficking,G3,6,52.8,71.6,78.2,91.2,2373.0,1785.0,6419.0,11409.0,1440,1072,4031,7307
CXCR3,Trafficking,G3,4,57.7,64.0,78.9,91.3,2954.0,1473.0,5730.0,6850.0,1806,879,3584,4311
